cycle,state,district,dem_pct,rep_pct,dem_margin,winner
2022,MD,4,90.1,9.65,80.65,D
2022,MD,8,80.18,18.15,63.08,D
2022,KY,2,28.14,71.86,-43.72,R
2022,OH,10,38.33,61.67,-23.33,R
2022,OH,13,52.68,47.32,5.35,D
2022,VA,2,48.22,51.63,-3.41,R
2022,VA,5,42.24,57.57,-15.36,R
2022,VA,8,73.53,24.76,49.62,D
2022,VA,10,53.15,46.65,6.51,D
2022,VA,11,66.69,33.01,33.78,D
2022,OR,6,49.99,47.54,2.51,D
2022,NY,3,44.24,49.33,-5.44,R
2022,NY,4,48.19,47.63,0.58,D
2022,NY,5,75.11,22.6,53.75,D
2022,NY,8,71.63,26.59,45.86,D
2022,NY,11,38.17,57.41,-20.13,R
2022,NY,13,98.93,0.0,100.0,D
2022,NY,15,82.7,17.19,65.58,D
2022,NY,18,46.12,43.8,2.58,D
2022,TN,2,32.09,67.91,-35.82,R
2022,CA,3,46.35,53.65,-7.3,R
2022,CA,5,38.69,61.31,-22.62,R
2022,CA,8,75.73,24.27,51.46,D
2022,CA,12,90.47,9.53,80.95,D
2022,CA,13,49.79,50.21,-0.42,R
2022,CA,16,57.77,0.0,100.0,D
2022,CA,17,70.93,0.0,100.0,D
2022,CA,28,66.24,33.76,32.47,D
2022,CA,29,58.54,0.0,100.0,D
2022,CA,31,59.54,40.46,19.08,D
2022,CA,39,57.67,42.33,15.35,D
2022,CA,40,43.16,56.84,-13.67,R
2022,CA,46,61.79,38.21,23.58,D
2022,CA,47,51.72,48.28,3.43,D
2022,CA,48,39.64,60.36,-20.72,R
2022,CA,50,62.84,37.16,25.68,D
2022,PA,8,51.22,48.78,2.45,D
2022,CT,3,56.84,40.68,16.57,D
2022,IN,7,66.96,30.61,37.25,D
2022,IN,9,33.6,63.55,-30.83,R
2022,AK,1,54.96,45.04,9.93,D
2022,ME,2,53.05,46.95,6.1,D
2022,NY,16,61.09,35.66,26.28,D
2022,NJ,2,39.97,58.87,-19.12,R
2022,NJ,1,62.34,35.19,27.83,D
2022,UT,1,33.03,66.97,-33.95,R
2022,NM,2,50.34,49.64,0.7,D
2022,NH,1,54.0,45.89,8.13,D
